CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2011
"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"150020 Acará";-;-;-;-;-;6;1;1;-;-;-;-;-;-;-;-;10;-;-;-;1;-;-;1;1;-;-;-;-;21
"150030 Afuá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;1;-;-;1;1;-;-;-;-;14
"150034 Água Azul do Norte";-;1;-;1;-;-;1;1;-;-;-;-;1;-;-;-;8;-;-;-;1;-;1;1;-;-;-;-;-;16
"150040 Alenquer";-;-;-;1;-;2;-;3;-;-;-;-;1;-;-;-;3;-;-;-;1;-;1;1;-;-;2;2;-;17
"150050 Almeirim";-;-;-;-;-;6;-;2;-;-;-;-;2;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;18
"150060 Altamira";-;2;-;2;-;12;1;11;3;-;1;-;5;-;-;1;17;-;1;-;3;-;5;1;-;-;-;1;-;66
"150070 Anajás";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;7
"150080 Ananindeua";-;-;-;2;-;51;3;17;13;-;-;1;10;-;-;3;1;-;1;2;-;-;20;1;-;-;-;1;-;126
"150085 Anapu";-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;1;-;-;-;-;10
"150090 Augusto Corrêa";-;1;-;-;-;2;-;1;-;-;-;-;1;-;-;-;15;-;-;-;1;-;-;1;-;-;-;-;-;22
"150095 Aurora do Pará";-;-;-;1;-;2;1;1;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;12
"150100 Aveiro";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;9
"150110 Bagre";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"150120 Baião";-;1;-;1;-;1;1;1;-;-;-;-;1;-;-;-;12;-;-;-;1;-;1;1;-;-;-;-;-;21
"150125 Bannach";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;1;-;-;-;-;7
"150130 Barcarena";-;-;-;1;-;18;-;9;19;-;1;-;3;-;-;1;11;-;-;-;2;-;-;1;2;1;-;-;-;69
"150140 Belém";-;-;1;9;-;73;2;326;989;3;4;21;20;2;1;15;5;-;2;1;4;-;73;1;-;2;-;17;-;1571
"150145 Belterra";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;8;-;-;-;1;-;-;-;-;1;-;-;-;12
"150150 Benevides";-;-;-;-;-;3;-;1;-;-;-;1;1;-;-;-;13;-;-;-;1;-;1;-;-;-;-;-;-;21
"150157 Bom Jesus do Tocantins";-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;2;-;-;-;-;-;9
"150160 Bonito";-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;1;5;-;-;-;1;-;1;-;-;-;-;-;-;11
"150170 Bragança";-;1;-;2;-;13;-;3;6;-;-;-;3;-;-;-;8;-;-;-;1;-;2;-;-;1;-;-;-;40
"150172 Brasil Novo";-;1;-;1;-;5;1;2;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;1;-;-;-;-;-;16
"150175 Brejo Grande do Araguaia";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;10
"150178 Breu Branco";-;-;-;1;-;5;1;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;2;2;2;-;-;-;-;21
"150180 Breves";-;-;-;1;-;7;1;-;1;-;1;-;2;-;-;-;25;-;-;-;2;-;-;1;-;-;-;-;-;41
"150190 Bujaru";-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;11
"150200 Cachoeira do Arari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;1;-;-;-;1;-;-;-;-;13
"150195 Cachoeira do Piriá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;6
"150210 Cametá";-;-;-;1;-;14;1;1;-;-;1;-;2;-;-;1;8;-;-;-;2;-;4;1;-;-;1;1;-;38
"150215 Canaã dos Carajás";-;1;-;1;-;7;-;12;5;-;-;-;2;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;33
"150220 Capanema";-;-;1;-;-;21;1;9;3;-;1;-;5;-;-;-;-;-;-;-;2;-;2;1;-;1;-;-;-;47
"150230 Capitão Poço";-;-;-;-;-;4;-;1;-;-;1;-;2;-;-;-;12;-;-;-;1;-;2;-;-;-;-;-;-;23
"150240 Castanhal";-;-;1;1;-;34;-;22;33;-;2;2;3;1;-;7;11;-;-;-;2;-;10;1;-;-;-;2;-;132
"150250 Chaves";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;2;1;-;-;-;-;16
"150260 Colares";-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;12
"150270 Conceição do Araguaia";-;1;-;1;-;10;1;4;10;-;1;-;3;-;-;-;4;-;-;-;3;-;6;1;-;1;-;3;-;49
"150275 Concórdia do Pará";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;9
"150276 Cumaru do Norte";-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;10
"150277 Curionópolis";-;-;-;-;-;6;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;10
"150280 Curralinho";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;1;1;-;-;-;-;12
"150285 Curuá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;7
"150290 Curuçá";-;-;-;1;-;10;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;15
"150293 Dom Eliseu";-;-;-;-;-;-;-;-;2;-;-;-;3;-;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;15
"150295 Eldorado do Carajás";-;-;-;1;-;5;-;-;-;-;-;-;2;-;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;15
"150300 Faro";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;6
"150304 Floresta do Araguaia";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;9
"150307 Garrafão do Norte";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9;-;-;-;1;-;-;1;-;-;-;-;-;12
"150309 Goianésia do Pará";-;-;-;1;-;-;1;1;1;-;-;-;1;-;-;-;15;-;-;-;1;-;1;2;1;-;-;-;-;25
"150310 Gurupá";-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;20;-;-;-;1;-;-;-;-;-;-;1;-;26
"150320 Igarapé-Açu";1;1;-;1;-;12;-;1;2;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;23
"150330 Igarapé-Miri";-;1;-;1;-;10;-;2;-;-;1;-;2;-;-;-;1;-;-;-;1;-;4;-;-;-;1;1;-;25
"150340 Inhangapi";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11;-;-;-;1;-;-;-;-;-;-;-;-;13
"150345 Ipixuna do Pará";-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;10;-;-;-;1;-;1;-;-;-;-;1;-;16
"150350 Irituia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;13;-;-;-;1;-;-;-;-;-;-;-;-;15
"150360 Itaituba";-;-;-;1;-;16;-;3;2;-;-;-;7;-;-;-;3;-;-;-;1;-;2;-;-;-;-;-;-;35
"150370 Itupiranga";-;-;-;-;-;-;1;2;1;-;-;-;2;-;-;-;11;-;-;-;1;-;-;1;-;-;-;-;-;19
"150375 Jacareacanga";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;4
"150380 Jacundá";-;1;-;1;-;1;1;1;-;-;1;-;3;-;-;-;10;-;-;-;1;-;1;-;-;-;-;-;-;21
"150390 Juruti";-;-;-;-;-;9;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;16
"150400 Limoeiro do Ajuru";-;-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;13;-;-;-;1;-;-;1;-;-;-;-;-;20
"150405 Mãe do Rio";-;-;-;1;-;5;1;2;1;-;-;-;2;-;-;1;4;-;-;-;1;-;1;-;-;1;-;-;-;20
"150410 Magalhães Barata";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;10
"150420 Marabá";-;-;1;1;-;12;-;42;48;-;1;2;4;-;-;4;8;-;-;2;3;-;16;1;-;1;-;2;-;148
"150430 Maracanã";-;1;-;-;-;8;-;-;-;-;-;-;-;-;-;-;11;-;-;-;1;-;1;-;1;-;-;-;-;23
"150440 Marapanim";-;-;-;-;-;6;-;-;1;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;1;-;-;-;-;17
"150442 Marituba";-;-;-;2;-;14;-;5;-;-;1;-;1;-;-;-;-;-;-;-;1;-;5;-;1;-;-;1;-;31
"150445 Medicilândia";-;1;-;-;-;3;1;1;-;-;-;-;-;-;1;-;5;-;-;-;-;-;-;2;1;1;-;-;-;16
"150450 Melgaço";-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;11
"150460 Mocajuba";-;-;-;1;-;8;-;2;1;-;-;-;1;-;-;-;4;-;-;-;1;-;1;1;-;-;-;-;-;20
"150470 Moju";-;-;-;1;-;9;1;1;-;-;1;-;1;-;-;-;7;-;-;-;-;-;1;1;-;-;-;-;-;23
"150480 Monte Alegre";-;-;-;-;-;7;-;2;1;-;1;-;-;-;-;-;28;-;-;-;1;-;2;-;4;-;-;1;-;47
"150490 Muaná";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;8;-;-;-;1;-;-;-;1;-;-;-;-;13
"150495 Nova Esperança do Piriá";-;-;-;-;-;1;1;1;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;11
"150497 Nova Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;1;1;-;-;-;-;7
"150500 Nova Timboteua";-;-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;8
"150503 Novo Progresso";-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;15;-;-;-;1;-;-;1;-;-;-;1;-;21
"150506 Novo Repartimento";-;-;-;-;-;6;1;1;-;-;-;-;1;-;-;2;7;-;-;-;1;-;-;1;-;-;-;1;-;21
"150510 Óbidos";-;-;-;-;-;8;-;1;4;-;-;-;1;-;-;-;4;-;-;-;1;-;3;1;-;-;-;1;-;24
"150520 Oeiras do Pará";-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;9;-;-;-;1;-;-;1;-;-;-;-;-;17
"150530 Oriximiná";-;-;-;-;-;6;-;2;2;-;1;-;3;-;-;2;14;-;-;-;1;-;1;2;-;-;-;-;-;34
"150540 Ourém";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;9
"150543 Ourilândia do Norte";-;-;-;1;-;5;1;5;1;-;-;-;1;-;-;-;3;-;-;-;-;-;-;1;1;-;-;-;-;19
"150548 Pacajá";-;-;-;-;-;6;1;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;1;-;-;-;-;13
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;1;-;7
"150550 Paragominas";-;-;-;1;-;-;-;14;6;-;-;-;4;-;-;-;17;-;-;-;1;1;5;-;-;-;-;-;-;49
"150553 Parauapebas";-;-;-;1;-;8;-;25;64;-;1;-;7;-;-;4;7;-;1;-;1;-;6;-;-;1;-;-;-;126
"150555 Pau D'Arco";-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"150560 Peixe-Boi";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;7
"150563 Piçarra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;1;1;1;-;-;-;-;11
"150565 Placas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;8
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;1;-;-;-;-;5
"150580 Portel";-;-;-;1;-;7;-;-;-;-;-;-;1;-;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;18
"150590 Porto de Moz";-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;10;-;-;-;-;-;-;1;-;-;-;-;-;15
"150600 Prainha";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;13
"150610 Primavera";-;1;-;-;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;10
"150611 Quatipuru";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;1;-;-;-;-;-;7
"150613 Redenção";-;1;1;1;-;8;1;10;19;-;1;-;6;-;-;1;5;-;-;-;-;-;6;1;-;-;-;-;-;61
"150616 Rio Maria";-;1;-;1;-;8;1;-;-;-;-;-;4;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;18
"150618 Rondon do Pará";-;1;-;1;-;9;1;-;3;-;-;-;4;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;23
"150619 Rurópolis";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;9
"150620 Salinópolis";-;1;-;1;-;10;-;1;-;-;-;-;2;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;20
"150630 Salvaterra";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12;-;-;-;1;-;-;-;1;-;-;-;-;15
"150635 Santa Bárbara do Pará";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"150640 Santa Cruz do Arari";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;4
"150650 Santa Izabel do Pará";-;-;-;2;-;19;1;2;-;-;1;-;1;-;-;1;4;-;-;-;2;-;3;1;-;-;-;-;-;37
"150655 Santa Luzia do Pará";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;12
"150658 Santa Maria das Barreiras";-;-;-;-;-;8;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"150660 Santa Maria do Pará";-;1;-;-;-;7;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;13
"150670 Santana do Araguaia";-;1;-;-;-;6;1;2;1;-;1;1;1;-;-;-;1;-;-;-;1;-;4;2;1;-;-;-;-;23
"150680 Santarém";1;-;1;2;-;42;-;44;31;1;-;1;8;-;-;3;35;-;-;-;2;-;26;-;-;2;2;2;-;203
"150690 Santarém Novo";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"150700 Santo Antônio do Tauá";-;-;-;1;-;8;-;1;1;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;16
"150710 São Caetano de Odivelas";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;1;1;-;-;-;-;10
"150715 São Domingos do Araguaia";-;-;-;1;-;2;-;1;-;-;-;-;2;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;14
"150720 São Domingos do Capim";-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;14
"150730 São Félix do Xingu";-;1;-;1;-;18;-;3;3;-;-;-;3;-;-;-;2;-;-;-;2;-;2;-;-;-;-;-;-;35
"150740 São Francisco do Pará";-;1;-;-;-;9;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;15
"150745 São Geraldo do Araguaia";-;1;-;-;-;4;-;1;-;-;-;-;1;-;-;-;7;-;-;-;2;-;-;1;-;-;-;-;-;17
"150746 São João da Ponta";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"150747 São João de Pirabas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;10
"150750 São João do Araguaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;1;-;-;-;1;-;-;-;-;12
"150760 São Miguel do Guamá";-;1;-;1;-;-;2;5;-;-;1;-;2;-;-;-;23;-;-;-;2;-;-;1;-;1;-;-;-;39
"150770 São Sebastião da Boa Vista";-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;9;-;-;-;-;-;-;1;-;-;-;-;-;13
"150775 Sapucaia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;2;1;-;-;-;-;7
"150780 Senador José Porfírio";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;1;1;-;-;-;-;11
"150790 Soure";-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;10
"150795 Tailândia";-;-;-;-;-;4;-;3;1;-;-;-;1;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;13
"150796 Terra Alta";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"150797 Terra Santa";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;9;-;-;-;1;-;-;1;-;-;-;-;-;14
"150800 Tomé-Açu";-;-;-;-;-;6;-;1;-;-;-;-;3;-;-;-;3;-;-;-;1;-;1;1;-;-;-;1;-;17
"150803 Tracuateua";-;-;-;1;-;3;1;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;1;1;-;-;-;-;19
"150805 Trairão";-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;1;-;-;-;-;-;11
"150808 Tucumã";-;-;-;1;-;7;1;4;6;-;-;-;2;-;-;-;8;-;-;-;-;-;3;1;1;-;-;1;-;35
"150810 Tucuruí";-;2;1;1;1;19;1;9;6;-;1;-;5;-;-;2;2;-;-;-;1;1;7;1;-;1;-;-;-;61
"150812 Ulianópolis";-;-;-;1;-;3;-;1;-;-;-;-;2;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;12
"150815 Uruará";-;1;-;-;-;2;2;-;1;-;-;-;1;-;-;-;6;-;-;-;-;-;1;1;1;-;-;-;-;16
"150820 Vigia";-;-;-;-;-;9;-;-;2;-;-;-;1;-;-;-;10;-;-;-;1;-;1;-;-;-;-;-;-;24
"150830 Viseu";-;-;-;-;-;2;-;1;-;-;1;-;1;-;-;-;13;-;-;-;1;-;-;-;-;-;-;-;-;19
"150835 Vitória do Xingu";-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;8
"150840 Xinguara";-;1;-;1;-;10;1;2;2;-;1;-;3;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;25
"160010 Amapá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;-;1;1;-;-;-;-;11
"160020 Calçoene";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;7
"160021 Cutias";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;5
"160023 Ferreira Gomes";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;4
"160025 Itaubal";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;12
"160027 Laranjal do Jari";-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;2;1;-;-;-;-;-;12
"160030 Macapá";-;-;-;2;-;19;1;37;76;-;2;4;4;-;1;1;34;-;-;1;1;-;28;2;-;-;-;1;-;214
"160040 Mazagão";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;2;1;1;-;-;-;-;38
"160050 Oiapoque";-;-;-;-;-;25;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;28
"160015 Pedra Branca do Amapari";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;1;-;-;-;-;13
"160053 Porto Grande";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;1;-;-;-;-;7
"160055 Pracuúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;4
"160060 Santana";-;-;-;2;-;15;-;3;6;-;-;-;2;-;-;-;4;-;-;-;-;-;4;2;-;-;-;-;-;38
"160005 Serra do Navio";-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;8
"160070 Tartarugalzinho";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;1;-;-;-;-;16
"160080 Vitória do Jari";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;9
"170025 Abreulândia";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"170030 Aguiarnópolis";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;5
"170035 Aliança do Tocantins";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;5
"170040 Almas";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3
"170070 Alvorada";-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;6
"170100 Ananás";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"170105 Angico";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"170110 Aparecida do Rio Negro";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"170130 Aragominas";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"170190 Araguacema";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"170200 Araguaçu";-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"170210 Araguaína";-;-;1;1;-;17;1;16;66;-;3;2;4;-;-;-;-;1;-;-;1;-;17;3;-;1;-;1;-;135
"170215 Araguanã";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"170220 Araguatins";-;-;-;1;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;10
"170230 Arapoema";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"170240 Arraias";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5
"170255 Augustinópolis";-;-;1;-;-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;12
"170270 Aurora do Tocantins";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"170290 Axixá do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;4
"170300 Babaçulândia";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"170305 Bandeirantes do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"170307 Barra do Ouro";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"170310 Barrolândia";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"170320 Bernardo Sayão";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"170330 Bom Jesus do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170360 Brasilândia do Tocantins";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"170370 Brejinho de Nazaré";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;6
