CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2017
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"315970 Santa Rosa da Serra";-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"315980 Santa Vitória";1;-;-;-;-;1;-;6;-;3;4;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;-;-;24
"315830 Santana da Vargem";-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;7
"315840 Santana de Cataguases";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"315850 Santana de Pirapama";-;-;-;-;-;-;-;5;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"315860 Santana do Deserto";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"315870 Santana do Garambéu";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"315880 Santana do Jacaré";-;-;-;-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;8
"315890 Santana do Manhuaçu";1;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;10
"315895 Santana do Paraíso";-;-;-;-;-;1;-;12;-;4;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;22
"315900 Santana do Riacho";-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"315910 Santana dos Montes";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"315990 Santo Antônio do Amparo";-;1;-;-;-;1;-;6;-;1;11;-;3;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;-;31
"316000 Santo Antônio do Aventureiro";-;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"316010 Santo Antônio do Grama";-;-;-;-;-;-;-;3;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"316020 Santo Antônio do Itambé";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"316030 Santo Antônio do Jacinto";-;-;-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;8
"316040 Santo Antônio do Monte";-;-;-;-;-;1;-;8;-;1;18;-;1;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;7;1;-;1;-;-;-;-;44
"316045 Santo Antônio do Retiro";-;-;-;-;-;-;-;4;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;11
"316050 Santo Antônio do Rio Abaixo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316060 Santo Hipólito";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"316070 Santos Dumont";-;-;-;-;-;1;-;10;-;5;24;-;-;-;1;-;-;-;1;-;6;-;-;-;1;-;-;-;12;-;-;2;-;-;-;-;63
"316080 São Bento Abade";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"316090 São Brás do Suaçuí";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"316095 São Domingos das Dores";-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"316100 São Domingos do Prata";-;-;-;-;-;1;-;2;-;1;6;-;1;-;1;-;-;-;1;-;4;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;20
"316105 São Félix de Minas";1;-;-;-;-;1;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"316110 São Francisco";-;-;-;-;-;2;-;14;-;1;5;-;-;-;1;-;-;-;-;-;6;-;-;-;1;-;-;-;4;2;-;1;-;-;-;-;37
"316120 São Francisco de Paula";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"316130 São Francisco de Sales";-;-;-;-;-;-;-;2;-;-;4;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"316140 São Francisco do Glória";1;-;-;-;-;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"316150 São Geraldo";-;-;-;-;-;-;-;4;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"316160 São Geraldo da Piedade";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316165 São Geraldo do Baixio";1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"316170 São Gonçalo do Abaeté";-;-;-;-;-;-;-;2;-;1;4;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;12
"316180 São Gonçalo do Pará";-;-;-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"316190 São Gonçalo do Rio Abaixo";-;-;-;-;-;1;-;6;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;12
"312550 São Gonçalo do Rio Preto";-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;5
"316200 São Gonçalo do Sapucaí";-;-;-;-;-;1;-;6;-;8;29;-;1;-;1;-;-;-;1;-;3;-;-;-;1;-;-;-;6;-;-;1;-;-;-;-;58
"316210 São Gotardo";-;-;-;-;-;-;-;10;-;5;9;-;2;-;2;-;-;-;3;-;-;-;-;1;1;-;-;-;9;1;-;-;-;-;-;-;43
"316220 São João Batista do Glória";1;-;-;-;-;-;-;3;-;1;3;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;12
"316225 São João da Lagoa";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316230 São João da Mata";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"316240 São João da Ponte";1;-;-;-;-;1;-;12;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;20
"316245 São João das Missões";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;-;-;-;-;-;-;-;-;-;13
"316250 São João del Rei";-;1;-;-;1;2;-;19;-;42;199;-;1;-;2;-;-;1;1;-;2;1;-;-;2;-;-;-;15;1;-;2;-;-;-;-;292
"316255 São João do Manhuaçu";1;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;13
"316257 São João do Manteninha";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"316260 São João do Oriente";-;-;-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;9
"316265 São João do Pacuí";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"316270 São João do Paraíso";1;-;-;-;-;1;-;9;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;3;1;-;1;-;-;-;-;21
"316280 São João Evangelista";-;-;-;-;-;1;-;6;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;14
"316290 São João Nepomuceno";-;-;-;-;-;1;-;3;-;4;10;-;-;-;1;-;-;-;1;-;3;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;27
"316292 São Joaquim de Bicas";-;-;-;-;-;1;-;8;-;2;12;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;29
"316294 São José da Barra";-;-;-;-;-;-;-;2;-;-;11;-;1;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;19
"316295 São José da Lapa";-;-;-;-;-;-;-;2;-;1;8;-;1;-;-;-;-;-;2;-;5;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;21
"316300 São José da Safira";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"316310 São José da Varginha";-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"316320 São José do Alegre";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"316330 São José do Divino";1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"316340 São José do Goiabal";-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"316350 São José do Jacuri";1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"316360 São José do Mantimento";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316370 São Lourenço";-;1;-;-;-;2;-;12;-;14;155;1;1;-;1;-;-;-;1;-;-;1;-;1;2;2;-;-;10;-;-;2;-;-;-;-;206
"316380 São Miguel do Anta";-;-;-;-;-;1;-;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"316390 São Pedro da União";-;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;7
"316410 São Pedro do Suaçuí";1;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"316400 São Pedro dos Ferros";-;-;-;-;-;-;-;4;-;-;5;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;15
"316420 São Romão";-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;-;11
"316430 São Roque de Minas";-;-;-;-;-;-;-;3;-;-;1;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;1;-;1;-;-;-;-;13
"316440 São Sebastião da Bela Vista";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"316443 São Sebastião da Vargem Alegre";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"316447 São Sebastião do Anta";1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"316450 São Sebastião do Maranhão";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;7
"316460 São Sebastião do Oeste";-;-;-;-;-;-;-;8;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;15
"316470 São Sebastião do Paraíso";-;-;-;-;-;3;-;22;-;11;108;-;-;1;1;1;-;-;-;-;1;2;-;2;1;-;-;-;11;1;-;1;-;-;-;-;166
"316480 São Sebastião do Rio Preto";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"316490 São Sebastião do Rio Verde";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"316520 São Thomé das Letras";-;-;-;1;-;-;-;4;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"316500 São Tiago";-;-;-;-;-;-;-;3;-;4;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;12
"316510 São Tomás de Aquino";-;-;-;-;-;-;-;4;-;1;2;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;11
"316530 São Vicente de Minas";-;-;-;-;-;1;-;3;-;1;5;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;16
"316540 Sapucaí-Mirim";-;-;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"316550 Sardoá";-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;5
"316553 Sarzedo";1;1;-;-;-;1;-;7;-;5;4;-;4;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;2;-;-;-;-;-;-;30
"316556 Sem-Peixe";-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"316557 Senador Amaral";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"316560 Senador Cortes";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"316570 Senador Firmino";-;-;-;1;-;1;-;3;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"316580 Senador José Bento";-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"316590 Senador Modestino Gonçalves";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316600 Senhora de Oliveira";1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"316610 Senhora do Porto";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316620 Senhora dos Remédios";-;-;-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"316630 Sericita";1;-;-;-;-;-;-;2;-;-;2;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;11
"316640 Seritinga";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"316650 Serra Azul de Minas";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316660 Serra da Saudade";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"316680 Serra do Salitre";-;-;-;-;-;-;-;3;-;3;8;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;21
"316670 Serra dos Aimorés";-;-;-;-;-;-;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"316690 Serrania";-;-;-;-;-;-;-;3;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;11
"316695 Serranópolis de Minas";1;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;7
"316700 Serranos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316710 Serro";1;-;-;-;-;-;-;8;-;4;3;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;-;-;23
"316720 Sete Lagoas";-;1;1;-;1;3;-;51;-;49;332;1;1;-;4;-;-;1;1;-;-;2;1;-;2;-;-;-;46;3;-;3;-;-;-;-;503
"316555 Setubinha";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;8
"316730 Silveirânia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"316740 Silvianópolis";-;-;-;-;-;-;-;1;-;2;2;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;10
"316750 Simão Pereira";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"316760 Simonésia";1;-;-;-;-;1;-;3;-;1;1;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;6;-;-;-;-;-;-;-;19
"316770 Sobrália";1;-;-;-;-;-;-;4;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;12
"316780 Soledade de Minas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"316790 Tabuleiro";-;-;-;1;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"316800 Taiobeiras";1;-;-;-;-;1;-;10;-;9;10;-;1;-;1;-;-;-;1;-;2;-;-;1;1;-;-;-;6;1;-;2;-;-;-;1;48
"316805 Taparuba";1;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"316810 Tapira";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316820 Tapiraí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"316830 Taquaraçu de Minas";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"316840 Tarumirim";-;-;-;-;-;-;-;7;-;-;1;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;16
"316850 Teixeiras";-;-;-;-;-;-;-;2;-;1;4;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;13
"316860 Teófilo Otoni";-;1;1;-;-;3;-;45;2;83;273;-;2;-;4;-;-;1;2;-;-;2;-;-;2;-;-;-;21;-;-;6;-;-;-;-;448
"316870 Timóteo";-;-;-;-;-;1;-;16;1;6;60;-;-;-;1;-;-;-;14;-;1;-;-;-;1;1;-;-;19;1;-;-;-;-;-;-;122
"316880 Tiradentes";-;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;7
"316890 Tiros";-;-;-;-;-;-;-;3;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;12
"316900 Tocantins";-;-;-;-;-;-;-;3;-;4;3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;16
"316905 Tocos do Moji";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"316910 Toledo";-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"316920 Tombos";-;-;-;1;-;1;-;7;-;-;13;-;1;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;7;1;-;-;-;-;-;-;35
"316930 Três Corações";1;-;-;-;-;2;-;17;-;24;164;-;1;-;3;-;-;-;2;-;1;-;-;-;1;-;-;-;17;1;-;1;-;-;-;-;235
"316935 Três Marias";-;-;-;-;-;1;-;9;-;11;18;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;-;-;1;-;-;47
"316940 Três Pontas";-;1;-;1;-;1;-;11;-;25;150;-;1;-;1;-;-;-;1;-;1;1;-;-;1;-;-;-;9;-;-;1;-;1;-;-;206
"316950 Tumiritinga";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"316960 Tupaciguara";-;-;-;-;-;1;-;5;-;2;3;-;1;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;16
"316970 Turmalina";-;-;-;-;-;1;-;8;-;1;11;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;27
"316980 Turvolândia";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;5
"316990 Ubá";1;1;-;-;-;2;-;19;-;56;58;-;3;-;4;-;-;1;1;-;5;-;-;-;2;-;-;-;12;1;-;2;-;-;-;-;168
"317000 Ubaí";1;-;-;1;-;-;-;11;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;17
"317005 Ubaporanga";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"317010 Uberaba";-;2;1;-;1;4;-;33;-;104;325;3;2;5;6;-;-;1;20;-;1;2;-;-;3;-;-;1;39;1;-;11;-;6;-;3;574
"317020 Uberlândia";-;2;-;-;1;6;-;65;-;294;1013;4;-;2;12;10;-;-;59;-;6;1;-;-;2;5;-;-;76;3;7;1;-;3;-;1;1573
"317030 Umburatiba";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"317040 Unaí";-;1;-;-;-;1;-;14;-;13;74;-;-;-;4;-;-;-;2;-;3;-;-;-;2;2;-;-;1;1;-;-;-;1;-;-;119
"317043 União de Minas";-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"317047 Uruana de Minas";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"317050 Urucânia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"317052 Urucuia";1;-;-;-;-;-;-;3;-;1;-;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;13
"317057 Vargem Alegre";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"317060 Vargem Bonita";1;-;-;-;-;-;-;2;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"317065 Vargem Grande do Rio Pardo";1;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;10
"317070 Varginha";-;-;1;-;-;3;-;22;1;35;549;-;1;-;4;1;-;-;-;-;3;1;-;-;2;-;-;-;38;-;-;3;-;2;-;-;666
