CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2010
"Município";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"150700 Santo Antônio do Tauá";-;1;2;2;2;7;-;-;-;4;-;9;-;-;-;1;-;-;2;30
"150710 São Caetano de Odivelas";-;1;1;-;2;6;-;-;-;1;1;3;-;-;-;-;-;-;1;16
"150715 São Domingos do Araguaia";2;1;1;2;-;6;2;-;-;1;1;3;-;1;-;-;-;-;1;21
"150720 São Domingos do Capim";-;1;2;-;1;13;1;-;-;6;1;2;-;-;-;-;-;-;2;29
"150730 São Félix do Xingu";1;2;5;-;2;14;1;1;-;3;1;11;-;1;-;-;-;5;3;50
"150740 São Francisco do Pará";-;1;-;-;1;4;-;-;-;1;1;7;-;1;-;-;-;-;-;16
"150745 São Geraldo do Araguaia";3;1;2;1;3;13;1;1;-;-;1;4;-;1;-;-;-;2;1;34
"150746 São João da Ponta";-;-;-;-;1;3;-;-;-;1;-;1;-;-;-;-;-;-;-;6
"150747 São João de Pirabas";-;1;1;-;3;11;-;-;-;1;1;5;-;-;-;-;-;-;-;23
"150750 São João do Araguaia";-;-;-;-;-;3;-;-;-;-;-;3;-;1;-;-;-;-;1;8
"150760 São Miguel do Guamá";-;2;4;2;7;13;1;1;-;1;1;8;-;2;-;1;-;-;2;45
"150770 São Sebastião da Boa Vista";-;1;1;1;3;3;-;-;-;-;1;2;-;-;-;-;-;-;1;13
"150775 Sapucaia";-;-;2;-;2;2;1;-;-;-;-;1;-;-;-;-;-;-;-;8
"150780 Senador José Porfírio";1;-;1;1;-;5;1;-;-;1;1;2;-;-;-;1;-;-;-;14
"150790 Soure";-;1;1;1;2;7;1;-;-;1;-;2;-;1;-;-;-;-;-;17
"150795 Tailândia";1;2;2;2;5;14;1;1;1;1;1;7;-;1;1;-;-;2;5;47
"150796 Terra Alta";-;-;1;-;1;7;-;-;-;2;-;4;-;-;-;-;-;-;-;15
"150797 Terra Santa";1;-;1;-;-;6;-;-;-;2;-;3;-;-;-;-;-;-;1;14
"150800 Tomé-Açu";5;1;1;2;1;10;1;-;-;2;-;6;1;-;-;-;-;-;5;35
"150803 Tracuateua";-;4;-;-;-;10;-;1;-;1;1;4;-;2;-;-;-;-;3;26
"150805 Trairão";-;1;1;-;1;8;1;-;-;-;-;1;-;-;-;-;-;-;1;14
"150808 Tucumã";6;1;3;2;4;11;5;2;-;1;-;13;1;1;-;-;-;-;4;54
"150810 Tucuruí";3;10;15;5;24;39;9;5;1;3;5;24;3;3;1;1;-;15;6;172
"150812 Ulianópolis";1;1;2;4;-;10;2;-;-;2;-;4;-;2;1;-;-;-;4;33
"150815 Uruará";-;1;1;1;3;10;2;-;1;-;1;3;-;1;-;-;-;-;2;26
"150820 Vigia";2;3;-;-;4;10;-;-;-;2;1;4;-;-;-;-;-;1;1;28
"150830 Viseu";-;1;1;1;-;11;-;-;-;2;2;10;-;-;-;-;-;-;1;29
"150835 Vitória do Xingu";-;-;-;-;1;5;1;-;-;-;-;2;-;1;-;-;-;-;1;11
"150840 Xinguara";1;2;5;-;5;14;2;1;-;1;1;5;-;2;-;-;-;1;4;44
"160010 Amapá";-;-;-;-;1;5;1;-;-;2;1;5;-;1;-;-;-;1;-;17
"160020 Calçoene";1;1;1;6;2;3;1;-;-;-;-;4;-;1;-;-;-;-;1;21
"160021 Cutias";-;-;-;-;1;2;-;-;-;2;-;2;-;-;-;-;-;-;-;7
"160023 Ferreira Gomes";-;1;1;-;2;4;-;-;-;1;-;2;-;-;-;-;-;-;-;11
"160025 Itaubal";-;-;-;-;-;3;-;-;-;2;-;2;-;-;-;-;-;-;-;7
"160027 Laranjal do Jari";4;2;3;7;6;15;7;-;3;7;2;6;2;2;-;2;-;-;1;69
"160030 Macapá";20;64;73;57;158;250;108;35;36;25;42;128;40;42;4;15;-;129;53;1279
"160040 Mazagão";-;1;-;-;1;7;2;-;-;4;-;6;1;1;-;-;-;1;-;24
"160050 Oiapoque";-;2;3;2;1;7;1;2;-;3;1;5;-;1;-;-;-;-;2;30
"160015 Pedra Branca do Amapari";-;1;1;-;1;5;1;1;-;2;-;3;-;1;-;-;-;-;-;16
"160053 Porto Grande";-;-;1;-;3;5;1;-;-;1;1;5;-;-;-;-;-;-;1;18
"160055 Pracuúba";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"160060 Santana";3;12;9;4;10;40;10;5;-;17;8;27;1;7;-;-;-;1;12;166
"160005 Serra do Navio";-;-;-;-;1;4;1;-;-;1;2;1;-;-;-;-;-;-;-;10
"160070 Tartarugalzinho";-;-;1;-;1;5;1;-;-;1;-;3;-;-;-;-;-;-;-;12
"160080 Vitória do Jari";-;1;1;-;1;5;2;1;-;3;1;3;-;-;-;-;-;-;1;19
"170025 Abreulândia";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"170030 Aguiarnópolis";-;-;2;-;-;3;1;-;-;2;-;4;1;-;-;-;-;-;-;13
"170035 Aliança do Tocantins";-;1;1;-;2;6;3;-;-;3;-;4;-;1;-;-;-;-;1;22
"170040 Almas";-;-;1;-;2;4;1;-;-;-;-;2;-;-;-;-;-;-;-;10
"170070 Alvorada";-;2;2;-;8;7;2;2;-;-;1;3;-;2;-;-;-;1;2;32
"170100 Ananás";-;-;2;2;1;6;1;-;-;1;-;2;-;-;-;-;-;1;1;17
"170105 Angico";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"170110 Aparecida do Rio Negro";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"170130 Aragominas";-;1;1;-;-;4;2;-;-;2;-;5;-;1;-;-;-;-;-;16
"170190 Araguacema";-;-;1;1;2;4;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"170200 Araguaçu";1;3;2;3;2;16;3;-;-;2;1;4;-;5;-;-;-;-;3;45
"170210 Araguaína";9;26;94;31;132;242;38;13;9;14;16;117;7;27;3;7;-;75;35;895
"170215 Araguanã";-;1;-;-;1;3;1;-;-;-;-;2;-;-;-;-;-;-;-;8
"170220 Araguatins";1;1;5;1;3;14;2;1;-;6;2;6;1;3;1;-;-;-;6;53
"170230 Arapoema";-;1;2;-;6;5;2;-;-;-;-;2;-;1;-;-;-;1;1;21
"170240 Arraias";9;3;2;1;5;10;4;1;-;-;2;2;-;3;-;-;-;-;2;44
"170255 Augustinópolis";1;3;4;7;33;13;7;1;5;1;3;7;1;3;-;1;-;9;1;100
"170270 Aurora do Tocantins";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"170290 Axixá do Tocantins";-;-;-;-;2;5;-;-;-;1;-;2;-;-;-;-;-;-;-;10
"170300 Babaçulândia";-;-;-;-;1;5;-;-;-;1;-;2;-;-;-;-;-;-;-;9
"170305 Bandeirantes do Tocantins";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"170307 Barra do Ouro";-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"170310 Barrolândia";-;1;1;-;2;3;3;2;-;1;2;2;-;1;-;-;-;1;3;22
"170320 Bernardo Sayão";-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"170330 Bom Jesus do Tocantins";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"170360 Brasilândia do Tocantins";-;-;1;-;-;2;1;-;-;1;-;1;-;-;-;-;-;-;-;6
"170370 Brejinho de Nazaré";-;-;1;1;1;4;1;-;-;2;-;1;-;-;-;-;-;-;1;12
"170380 Buriti do Tocantins";-;-;1;-;2;3;-;-;-;1;-;2;-;1;-;-;-;-;-;10
"170382 Cachoeirinha";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"170384 Campos Lindos";-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"170386 Cariri do Tocantins";-;-;1;-;2;1;1;-;-;-;-;3;-;-;-;-;-;-;-;8
"170388 Carmolândia";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"170389 Carrasco Bonito";-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"170390 Caseara";-;-;1;-;2;3;1;-;-;-;-;2;-;-;-;-;-;-;-;9
"170410 Centenário";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"170510 Chapada da Natividade";-;-;1;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;5
"170460 Chapada de Areia";-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;-;-;4
"170550 Colinas do Tocantins";-;2;8;2;8;18;1;2;-;3;2;16;-;2;1;1;-;-;6;72
"171670 Colméia";-;1;1;-;4;6;1;1;-;-;-;2;-;-;-;-;-;-;3;19
"170555 Combinado";-;-;1;-;2;3;-;-;-;-;-;1;-;-;-;-;-;-;1;8
"170560 Conceição do Tocantins";-;-;-;-;1;3;-;-;-;1;-;2;-;-;-;-;-;-;-;7
"170600 Couto Magalhães";-;-;2;-;1;5;-;-;-;2;-;2;-;-;-;-;-;-;-;12
"170610 Cristalândia";-;1;2;-;3;4;2;-;-;1;1;3;-;-;-;-;-;-;-;17
"170625 Crixás do Tocantins";-;-;-;-;1;2;1;-;-;-;-;2;-;1;-;-;-;-;-;7
"170650 Darcinópolis";-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"170700 Dianópolis";-;3;6;6;7;17;6;1;-;2;3;9;-;4;1;1;-;6;6;78
"170710 Divinópolis do Tocantins";-;-;1;-;3;5;1;-;-;-;-;4;-;-;-;1;-;-;1;16
"170720 Dois Irmãos do Tocantins";-;-;2;-;2;3;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"170730 Dueré";-;-;-;-;3;3;1;-;-;-;-;2;-;-;-;-;-;-;-;9
"170740 Esperantina";-;-;-;-;-;2;-;-;-;2;-;1;-;-;-;-;-;-;-;5
"170755 Fátima";-;-;-;-;-;-;1;-;-;1;-;2;-;1;-;-;-;-;1;6
"170765 Figueirópolis";-;-;4;-;3;4;1;-;-;-;-;2;-;-;-;-;-;-;-;14
"170770 Filadélfia";-;-;1;-;2;4;-;-;-;-;-;3;-;-;-;-;-;-;-;10
"170820 Formoso do Araguaia";3;-;2;1;4;11;1;1;-;-;1;4;-;1;-;-;-;1;2;32
"170825 Fortaleza do Tabocão";-;-;1;-;-;3;-;-;-;1;-;3;-;-;-;-;-;-;-;8
"170830 Goianorte";-;-;1;-;2;2;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"170900 Goiatins";-;-;1;-;-;4;1;-;-;1;-;1;-;-;-;-;-;-;-;8
"170930 Guaraí";-;1;9;10;14;25;5;3;-;4;2;15;-;4;-;-;-;2;6;100
"170950 Gurupi";3;8;21;15;65;77;33;6;2;14;5;64;1;13;-;2;-;21;13;363
"170980 Ipueiras";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"171050 Itacajá";-;-;1;1;1;3;-;-;-;-;-;3;-;-;-;-;-;-;-;9
"171070 Itaguatins";-;-;1;-;1;3;-;-;-;1;-;2;-;-;-;-;-;-;-;8
"171090 Itapiratins";-;-;-;-;-;2;-;-;-;2;-;2;-;-;-;-;-;-;-;6
"171110 Itaporã do Tocantins";-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;1;5
"171150 Jaú do Tocantins";-;-;-;-;-;2;1;-;-;2;-;2;-;-;-;-;-;-;-;7
"171180 Juarina";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"171190 Lagoa da Confusão";-;-;2;-;1;5;1;-;-;2;-;3;-;-;-;-;-;-;-;14
"171195 Lagoa do Tocantins";-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"171200 Lajeado";-;1;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"171215 Lavandeira";-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"171240 Lizarda";-;-;-;-;-;2;-;-;-;2;-;1;-;-;-;-;-;-;-;5
"171245 Luzinópolis";-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;3
"171250 Marianópolis do Tocantins";-;-;1;-;1;2;1;-;-;-;-;2;-;-;-;-;-;-;-;7
"171270 Mateiros";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"171280 Maurilândia do Tocantins";-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;3
"171320 Miracema do Tocantins";1;4;4;7;14;28;9;1;1;2;2;10;-;4;-;1;-;5;2;95
"171330 Miranorte";-;1;1;-;4;12;1;1;-;-;-;2;-;1;-;-;-;-;1;24
"171360 Monte do Carmo";-;-;1;-;3;4;1;-;-;-;-;3;-;-;-;-;-;-;1;13
"171370 Monte Santo do Tocantins";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"171395 Muricilândia";-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;4
"171420 Natividade";-;-;1;-;1;5;-;-;-;3;-;3;-;-;-;-;-;-;1;14
"171430 Nazaré";-;-;-;-;4;2;-;-;-;-;-;3;-;-;-;-;-;-;1;10
"171488 Nova Olinda";-;2;2;-;1;5;1;1;-;-;-;3;-;2;-;-;-;-;-;17
"171500 Nova Rosalândia";-;-;-;-;2;2;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"171510 Novo Acordo";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;4
"171515 Novo Alegre";-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"171525 Novo Jardim";-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"171550 Oliveira de Fátima";-;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;4
"172100 Palmas";39;56;76;23;124;247;107;32;10;26;27;225;17;73;7;15;-;140;113;1357
"171570 Palmeirante";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"171380 Palmeiras do Tocantins";-;-;2;-;2;2;1;-;-;2;-;4;-;-;-;-;-;-;-;13
"171575 Palmeirópolis";-;-;2;1;2;3;2;-;-;-;-;1;-;-;-;-;-;-;1;12
"171610 Paraíso do Tocantins";2;8;13;6;20;37;10;4;2;6;3;18;4;8;-;1;-;11;9;162
"171620 Paranã";-;-;1;-;3;5;1;-;-;-;-;1;-;-;-;-;-;-;-;11
"171630 Pau D'Arco";-;-;1;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;-;6
"171650 Pedro Afonso";1;2;3;1;8;14;2;-;-;1;1;3;-;1;-;-;-;-;4;41
"171660 Peixe";-;-;2;1;2;5;-;-;-;4;-;4;-;-;-;-;-;-;-;18
"171665 Pequizeiro";-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"171700 Pindorama do Tocantins";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"171720 Piraquê";-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"171750 Pium";-;1;3;-;7;7;1;1;-;1;-;3;-;1;-;-;-;-;-;25
"171780 Ponte Alta do Bom Jesus";-;-;-;-;1;2;1;-;-;-;-;2;-;-;-;-;-;-;-;6
"171790 Ponte Alta do Tocantins";-;-;-;-;1;3;1;-;-;1;-;1;-;-;-;-;-;-;1;8
"171800 Porto Alegre do Tocantins";-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"171820 Porto Nacional";-;10;16;9;23;70;16;6;3;5;4;27;6;11;1;1;-;5;12;225
"171830 Praia Norte";-;-;-;-;-;4;-;-;-;3;-;2;-;-;-;-;-;-;-;9
"171840 Presidente Kennedy";-;-;-;-;1;3;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"171845 Pugmil";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"171850 Recursolândia";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"171855 Riachinho";-;-;1;-;1;2;-;-;-;-;-;3;-;-;-;-;-;-;-;7
"171865 Rio da Conceição";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"171870 Rio dos Bois";-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"171875 Rio Sono";-;-;-;-;2;3;-;-;-;1;-;1;-;-;-;-;-;-;-;7
"171880 Sampaio";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171884 Sandolândia";-;-;-;-;-;2;-;-;-;2;-;2;-;-;-;-;-;-;-;6
"171886 Santa Fé do Araguaia";-;-;1;-;2;4;1;1;-;2;-;4;-;-;-;-;-;-;1;16
"171888 Santa Maria do Tocantins";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"171889 Santa Rita do Tocantins";-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"171890 Santa Rosa do Tocantins";-;-;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;-;5
"171900 Santa Tereza do Tocantins";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"172000 Santa Terezinha do Tocantins";-;-;1;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;4
"172010 São Bento do Tocantins";-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"172015 São Félix do Tocantins";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"172020 São Miguel do Tocantins";-;-;2;-;-;6;1;-;-;2;-;6;1;-;-;-;-;1;1;20
"172025 São Salvador do Tocantins";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"172030 São Sebastião do Tocantins";-;-;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;-;5
"172049 São Valério";-;-;1;-;-;4;1;-;-;-;-;2;-;-;-;-;-;-;-;8
"172065 Silvanópolis";-;-;-;-;3;3;-;-;-;-;1;2;-;-;-;-;-;-;-;9
"172080 Sítio Novo do Tocantins";-;-;1;1;2;8;1;-;-;4;-;6;1;-;-;-;-;-;2;26
"172085 Sucupira";-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;4
"172090 Taguatinga";2;2;3;3;5;14;-;-;-;1;1;6;-;1;-;1;-;-;3;42
"172093 Taipas do Tocantins";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"172097 Talismã";-;-;1;-;-;2;1;-;1;1;-;2;1;-;-;-;-;-;-;9
"172110 Tocantínia";-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;4
"172120 Tocantinópolis";1;2;7;-;5;11;4;1;-;1;-;6;-;2;-;-;-;-;3;43
"172125 Tupirama";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"172130 Tupiratins";-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"172208 Wanderlândia";-;-;-;-;-;3;-;-;-;2;-;2;-;-;-;-;-;-;1;8
"172210 Xambioá";-;-;6;3;4;8;2;-;-;2;1;7;-;1;-;-;-;-;2;36
"210005 Açailândia";2;3;21;3;27;31;4;4;2;6;2;18;2;3;1;2;-;9;6;146
"210010 Afonso Cunha";-;1;-;-;-;2;-;-;-;1;1;1;-;-;-;-;-;-;-;6
"210015 Água Doce do Maranhão";-;1;-;-;-;8;2;1;-;6;-;4;-;1;-;-;-;-;1;24
"210020 Alcântara";-;1;1;4;2;8;-;-;-;6;1;5;-;1;-;-;-;-;3;32
"210030 Aldeias Altas";1;-;2;4;6;6;2;1;1;4;2;1;1;-;-;-;-;1;1;33
"210040 Altamira do Maranhão";-;-;-;-;-;3;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"210043 Alto Alegre do Maranhão";-;-;1;-;-;7;1;-;-;6;-;2;-;-;-;-;-;-;1;18
"210047 Alto Alegre do Pindaré";1;2;1;-;2;18;2;2;-;13;1;16;-;1;-;-;-;1;4;64
"210050 Alto Parnaíba";-;-;2;1;2;3;-;-;-;1;-;1;-;-;-;-;-;-;-;10
"210055 Amapá do Maranhão";-;-;1;-;1;3;-;-;-;2;-;4;-;-;-;-;-;-;-;11
"210060 Amarante do Maranhão";1;-;4;1;3;13;2;-;-;6;2;4;-;-;-;-;-;2;2;40
"210070 Anajatuba";1;-;1;3;-;7;-;-;-;6;-;6;-;-;-;-;-;-;-;24
"210080 Anapurus";-;-;-;4;-;6;-;-;-;1;-;4;-;-;-;-;-;-;-;15
"210083 Apicum-Açu";-;-;1;-;1;5;-;-;-;3;-;4;-;-;-;-;-;-;-;14
"210087 Araguanã";-;-;-;-;-;4;1;-;-;3;-;2;-;-;-;-;-;-;1;11
"210090 Araioses";-;2;4;3;2;15;4;2;1;15;-;8;-;2;-;-;-;3;5;66
"210095 Arame";1;1;2;1;1;8;1;1;-;-;1;4;-;1;-;-;-;-;-;22
"210100 Arari";-;2;4;4;1;13;3;1;-;9;1;7;-;1;1;1;-;1;2;51
"210110 Axixá";-;-;1;-;1;4;-;-;-;-;-;5;-;-;-;-;-;-;-;11
"210120 Bacabal";5;3;17;9;22;58;8;2;-;8;3;21;-;7;-;1;-;9;6;179
"210125 Bacabeira";-;2;1;-;6;7;1;-;-;4;-;6;-;-;-;-;-;1;-;28
"210130 Bacuri";-;-;3;1;-;7;1;-;-;3;-;7;-;-;-;-;-;-;-;22
"210135 Bacurituba";-;-;1;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;5
"210140 Balsas";2;2;23;6;16;38;27;3;1;6;3;22;2;4;1;-;-;8;4;168
"210150 Barão de Grajaú";-;-;2;3;3;11;-;-;-;6;1;7;-;-;-;-;-;1;-;34
"210160 Barra do Corda";1;1;10;2;11;26;5;1;1;3;1;14;-;2;-;1;-;3;4;86
"210170 Barreirinhas";-;1;3;5;3;21;4;1;-;12;-;6;-;1;-;1;-;-;3;61
"210177 Bela Vista do Maranhão";-;-;1;-;-;4;1;-;-;3;-;4;-;-;-;-;-;-;-;13
"210173 Belágua";-;1;1;-;1;4;1;1;-;1;-;1;-;1;1;-;-;-;1;14
"210180 Benedito Leite";-;-;1;1;3;3;-;-;-;-;-;2;-;-;-;-;-;-;1;11
"210190 Bequimão";-;-;2;2;-;6;-;-;-;2;-;1;-;-;-;-;-;-;-;13
"210193 Bernardo do Mearim";-;-;1;-;1;2;-;-;-;-;-;3;-;-;-;-;-;-;-;7
"210197 Boa Vista do Gurupi";-;-;1;-;1;2;-;-;-;1;-;2;-;-;-;-;-;-;-;7
"210200 Bom Jardim";1;1;6;6;-;20;3;-;-;9;-;8;-;1;1;-;-;1;3;60
"210203 Bom Jesus das Selvas";-;-;2;1;-;8;1;-;-;4;-;4;-;-;-;-;-;-;-;20
"210207 Bom Lugar";-;-;1;-;1;5;-;-;-;6;-;5;-;-;-;-;-;-;-;18
"210210 Brejo";-;2;3;6;1;12;-;1;-;8;-;2;-;1;-;-;-;-;3;39
"210215 Brejo de Areia";-;1;1;-;1;6;-;-;-;2;-;4;-;-;-;-;-;1;-;16
"210220 Buriti";1;1;2;-;-;10;2;-;-;7;1;3;-;1;-;-;-;-;1;29
"210230 Buriti Bravo";-;-;2;2;3;7;-;-;-;3;-;3;-;-;-;-;-;-;-;20
"210232 Buriticupu";-;-;3;6;4;20;2;-;-;-;-;7;-;-;-;-;-;-;4;46
"210235 Buritirana";-;-;2;-;5;7;1;-;-;2;-;2;-;-;-;-;-;-;1;20
"210237 Cachoeira Grande";-;1;2;-;-;3;2;-;-;1;-;1;-;1;-;-;-;-;1;12
"210240 Cajapió";-;-;-;1;-;6;-;-;-;2;-;2;-;-;-;-;-;-;-;11
"210250 Cajari";-;-;1;-;3;4;-;-;-;1;-;2;-;-;-;-;-;-;-;11
"210255 Campestre do Maranhão";-;-;1;1;1;4;1;-;-;2;-;2;-;-;-;-;-;-;-;12
"210260 Cândido Mendes";-;-;1;1;-;8;-;-;-;7;-;6;-;-;-;-;-;-;-;23
"210270 Cantanhede";-;1;2;2;1;9;1;1;-;5;-;6;-;1;-;-;-;-;1;30
"210275 Capinzal do Norte";-;1;2;2;1;6;1;1;-;3;-;4;-;-;-;-;-;1;1;23
"210280 Carolina";1;-;4;1;6;19;3;-;-;6;2;7;1;-;-;-;-;1;1;52
"210290 Carutapera";-;2;3;1;-;19;2;1;-;8;1;7;-;1;-;-;-;1;1;47
"210300 Caxias";7;16;22;14;27;112;15;20;4;30;9;70;4;13;3;6;-;30;15;417
"210310 Cedral";-;-;1;1;-;6;-;-;-;1;-;2;-;-;-;-;-;-;-;11
"210312 Central do Maranhão";-;-;1;1;-;2;-;-;-;1;-;2;-;-;-;-;-;-;-;7
"210315 Centro do Guilherme";-;-;-;-;1;5;1;-;-;2;-;2;-;-;-;-;-;-;-;11
"210317 Centro Novo do Maranhão";-;-;1;-;-;8;-;-;-;7;-;3;-;-;-;-;-;-;-;19
"210320 Chapadinha";1;4;10;7;6;30;4;1;-;4;3;17;1;2;2;1;-;7;4;104
"210325 Cidelândia";-;-;2;1;3;4;-;-;-;2;-;3;-;-;-;-;-;-;-;15
"210330 Codó";4;5;11;1;21;41;6;2;1;7;1;23;1;2;1;2;-;7;5;141
"210340 Coelho Neto";-;2;5;2;10;23;3;2;1;2;2;15;-;3;1;-;-;11;6;88
"210350 Colinas";1;2;7;5;8;27;3;-;-;6;2;9;-;1;1;1;-;4;3;80
"210355 Conceição do Lago-Açu";-;-;1;-;1;6;-;-;-;3;-;2;-;-;-;-;-;-;-;13
"210360 Coroatá";1;1;3;3;4;31;3;2;2;13;1;16;1;1;-;1;-;1;3;87
"210370 Cururupu";2;4;5;4;3;18;3;1;-;7;1;8;-;2;-;1;-;3;3;65
"210375 Davinópolis";-;-;2;-;1;6;-;-;1;2;-;2;-;-;-;-;-;-;1;15
"210380 Dom Pedro";-;1;3;2;2;10;2;1;-;3;1;10;-;-;-;-;-;-;2;37
"210390 Duque Bacelar";-;-;1;-;4;6;-;-;-;2;1;2;-;-;-;-;-;-;1;17
"210400 Esperantinópolis";1;1;2;1;3;17;3;1;-;6;1;2;-;1;-;-;-;3;2;44
"210405 Estreito";-;1;4;3;3;23;2;1;2;9;1;6;-;2;-;-;-;1;2;60
"210407 Feira Nova do Maranhão";-;-;1;1;1;3;-;-;-;2;-;1;-;-;-;-;-;-;-;9
"210408 Fernando Falcão";-;-;-;-;1;5;-;-;-;2;-;2;-;-;-;-;-;-;1;11
"210409 Formosa da Serra Negra";-;1;1;-;3;6;1;-;-;2;-;5;-;-;-;-;-;-;-;19
"210410 Fortaleza dos Nogueiras";-;-;2;1;2;3;-;-;-;2;-;5;-;-;-;-;-;-;-;15
"210420 Fortuna";2;1;3;1;-;11;1;1;-;3;-;2;-;1;-;-;-;-;3;29
"210430 Godofredo Viana";-;-;1;1;1;3;-;-;-;2;-;2;-;-;-;-;-;-;-;10
"210440 Gonçalves Dias";-;-;1;2;-;8;-;-;-;6;-;2;-;-;-;-;-;-;-;19
"210450 Governador Archer";-;-;-;2;-;5;-;-;-;1;-;2;-;-;-;-;-;-;-;10
